4
30
1,N,09:04:50,01:00
2,P,09:10:10,08:40
3,N,09:11:50,04:40
4,P,09:14:20,05:10
5,P,09:22:10,11:10
6,P,09:27:10,10:30
7,C,09:32:20,08:50
8,N,09:39:00,07:00
9,P,09:46:00,12:30
10,P,09:56:00,01:20
11,N,10:05:00,13:30
12,N,10:08:20,14:50
13,N,10:11:20,02:40
14,N,10:17:40,14:30
15,C,10:17:50,02:50
16,C,10:19:00,13:20
17,C,10:28:00,10:40
18,P,10:33:20,14:50
19,N,10:36:50,12:20
20,C,10:45:40,10:00
21,P,10:50:00,13:00
22,C,10:52:10,14:40
23,P,11:00:50,12:10
24,N,11:09:30,00:50
25,N,11:17:50,12:30
26,P,11:27:10,12:30
27,P,11:28:40,02:10
28,N,11:30:30,03:30
29,C,11:38:00,08:30
30,N,11:48:00,02:20
