7
300
1,N,09:00:00,14:00
2,N,09:01:40,09:40
3,N,09:03:10,05:40
4,P,09:04:30,00:00
5,P,09:06:00,12:20
6,C,09:06:50,07:30
7,C,09:08:50,05:10
8,P,09:10:40,13:10
9,P,09:10:50,14:40
10,P,09:12:50,03:40
11,N,09:14:40,01:50
12,C,09:16:40,11:00
13,P,09:18:40,04:10
14,N,09:19:50,14:00
15,P,09:21:40,05:50
16,P,09:23:00,04:10
17,N,09:24:10,03:20
18,P,09:25:30,05:00
19,N,09:25:50,02:00
20,C,09:25:50,08:00
21,N,09:26:00,14:30
22,P,09:27:40,03:40
23,N,09:29:30,14:50
24,N,09:30:00,11:00
25,P,09:30:50,13:40
26,P,09:32:20,07:00
27,P,09:33:10,13:40
28,N,09:35:00,02:10
29,C,09:35:50,08:10
30,N,09:37:30,10:20
31,N,09:38:40,02:00
32,C,09:39:40,01:20
33,N,09:40:00,09:20
34,N,09:42:00,00:10
35,N,09:42:00,02:20
36,P,09:42:10,02:30
37,P,09:43:00,11:30
38,N,09:43:50,06:00
39,N,09:44:10,12:40
40,C,09:46:10,06:30
41,N,09:46:50,13:40
42,P,09:48:20,02:20
43,N,09:49:40,05:00
44,N,09:50:10,00:40
45,C,09:50:30,02:20
46,C,09:52:20,02:20
47,P,09:53:00,14:00
48,P,09:54:50,06:20
49,C,09:56:20,00:30
50,N,09:57:10,11:00
51,C,09:58:40,02:30
52,C,09:59:50,01:50
53,N,10:00:40,02:50
54,N,10:01:40,02:40
55,C,10:03:00,13:30
56,N,10:05:00,02:50
57,C,10:06:00,11:50
58,N,10:06:40,03:30
59,N,10:06:40,01:30
60,N,10:08:10,14:10
61,C,10:10:00,09:20
62,P,10:10:20,12:00
63,P,10:10:30,10:20
64,N,10:12:00,01:40
65,N,10:13:30,14:50
66,P,10:14:40,07:50
67,N,10:16:30,14:30
68,P,10:17:40,13:20
69,N,10:19:30,05:40
70,N,10:19:30,07:00
71,N,10:19:50,05:10
72,N,10:21:50,00:10
73,C,10:22:10,09:30
74,N,10:23:40,09:20
75,N,10:24:40,00:40
76,N,10:26:20,14:40
77,N,10:28:20,09:50
78,P,10:28:20,13:30
79,P,10:29:20,05:50
80,C,10:30:00,10:40
81,C,10:32:00,05:20
82,N,10:33:40,10:30
83,C,10:34:50,09:30
84,P,10:35:00,10:40
85,N,10:37:00,07:20
86,P,10:38:20,09:00
87,N,10:39:50,07:10
88,C,10:41:40,07:10
89,N,10:43:40,03:40
90,N,10:44:30,07:00
91,C,10:45:30,11:50
92,N,10:46:30,05:30
93,N,10:48:20,14:50
94,N,10:48:50,04:00
95,P,10:50:40,03:10
96,P,10:51:00,10:30
97,N,10:51:50,04:40
98,N,10:53:50,11:30
99,P,10:54:50,11:40
100,N,10:55:00,12:20
101,P,10:55:00,14:30
102,C,10:56:30,05:40
103,N,10:57:40,10:30
104,N,10:59:40,04:50
105,N,11:01:20,10:00
106,N,11:02:50,05:50
107,P,11:02:50,00:50
108,N,11:04:20,05:10
109,N,11:05:00,10:20
110,C,11:06:40,07:20
111,N,11:08:00,06:30
112,C,11:09:40,02:00
113,P,11:09:50,09:30
114,P,11:10:00,09:00
115,N,11:10:30,05:30
116,N,11:10:50,00:00
117,C,11:11:30,05:50
118,N,11:12:40,05:10
119,C,11:12:50,01:00
120,N,11:14:50,00:30
121,P,11:16:40,13:40
122,N,11:17:40,10:40
123,N,11:18:50,14:10
124,P,11:20:40,02:30
125,N,11:22:40,06:10
126,N,11:23:10,11:20
127,N,11:24:40,10:10
128,C,11:24:50,14:30
129,C,11:24:50,04:10
130,C,11:25:30,13:10
131,N,11:26:20,13:20
132,N,11:27:30,01:30
133,C,11:28:30,09:10
134,C,11:29:00,13:50
135,P,11:29:30,01:10
136,N,11:31:10,05:20
137,N,11:32:40,04:20
138,N,11:32:50,07:10
139,P,11:32:50,14:50
140,N,11:34:30,07:30
141,C,11:35:30,04:50
142,C,11:37:30,04:40
143,N,11:38:40,14:50
144,N,11:40:10,12:50
145,P,11:41:30,13:10
146,P,11:41:30,06:50
147,C,11:41:50,10:10
148,N,11:43:10,11:00
149,N,11:43:30,13:00
150,C,11:45:20,13:10
151,C,11:46:30,13:10
152,C,11:47:20,05:20
153,N,11:47:40,09:00
154,P,11:49:20,02:20
155,N,11:50:20,00:00
