6
100
1,N,09:00:00,03:40
2,N,09:00:50,09:30
3,C,09:02:50,05:30
4,C,09:04:30,00:30
5,P,09:05:20,00:10
6,C,09:05:50,08:20
7,N,09:08:30,09:10
8,P,09:11:20,14:50
9,C,09:14:10,01:30
10,P,09:15:30,15:00
11,P,09:17:40,03:50
12,C,09:20:40,07:20
13,P,09:21:00,00:50
14,C,09:23:40,02:00
15,N,09:24:30,13:30
16,N,09:25:40,04:00
17,C,09:26:10,12:40
18,C,09:27:40,05:10
19,P,09:28:30,04:40
20,C,09:31:10,10:20
21,N,09:32:10,09:10
22,C,09:34:50,09:50
23,C,09:36:50,01:20
24,N,09:38:30,09:20
25,C,09:39:00,14:20
26,P,09:39:50,08:50
27,P,09:41:40,07:50
28,N,09:43:10,11:20
29,N,09:45:00,01:40
30,P,09:46:30,10:00
31,C,09:47:50,00:40
32,P,09:49:30,02:00
33,C,09:52:30,06:20
34,N,09:55:20,03:10
35,P,09:55:40,09:50
36,C,09:55:40,03:00
37,P,09:57:30,00:40
38,N,09:59:00,13:00
39,N,10:01:30,10:30
40,N,10:04:30,10:20
41,N,10:05:50,13:30
42,P,10:06:30,10:50
43,C,10:08:30,10:00
44,P,10:08:40,06:00
45,C,10:11:10,12:10
46,C,10:11:30,09:40
47,P,10:13:50,04:20
48,P,10:16:10,09:00
49,C,10:16:50,10:50
50,P,10:17:10,04:00
51,N,10:19:10,10:20
52,N,10:19:20,09:50
53,C,10:19:40,14:30
54,N,10:20:00,10:20
55,N,10:21:00,09:30
56,P,10:21:00,13:50
57,C,10:21:40,01:40
58,N,10:24:40,09:20
59,P,10:26:00,09:10
60,P,10:28:50,05:30
61,C,10:29:40,06:50
62,P,10:30:10,05:00
63,C,10:31:20,06:20
64,P,10:33:10,02:50
65,C,10:35:30,09:20
66,N,10:37:40,07:40
67,P,10:40:00,14:00
68,C,10:40:40,02:00
69,N,10:42:40,11:10
70,C,10:45:30,14:10
71,N,10:46:20,02:40
72,N,10:49:20,13:30
73,N,10:50:10,11:10
74,N,10:50:50,06:40
75,N,10:51:40,07:40
76,N,10:54:40,08:20
77,P,10:55:50,00:00
78,P,10:56:50,09:10
79,N,10:59:50,01:10
80,C,11:01:40,08:10
81,C,11:02:00,02:10
82,C,11:03:40,10:30
83,C,11:04:30,02:00
84,N,11:07:20,00:10
85,C,11:08:40,11:40
86,N,11:10:20,03:10
87,N,11:13:10,15:00
88,N,11:14:20,04:00
89,N,11:16:30,07:50
90,N,11:16:40,11:40
91,N,11:19:20,10:50
92,C,11:21:10,11:10
93,P,11:22:20,07:40
94,N,11:24:20,09:00
95,P,11:26:10,06:40
96,N,11:29:10,05:50
97,C,11:31:00,13:40
98,C,11:31:20,04:50
99,N,11:32:30,07:30
100,N,11:34:30,12:10
