4,P,09:04:30,00:00
8,P,09:10:40,13:10
16,P,09:23:00,04:10
20,C,09:25:50,08:00
28,N,09:35:00,02:10
29,C,09:35:50,08:10
38,N,09:43:50,06:00
43,N,09:49:40,05:00
52,C,09:59:50,01:50
54,N,10:01:40,02:40
59,N,10:06:40,01:30
60,N,10:08:10,14:10
71,N,10:19:50,05:10
74,N,10:23:40,09:20
82,N,10:33:40,10:30
90,N,10:44:30,07:00
98,N,10:53:50,11:30
106,N,11:02:50,05:50
111,N,11:08:00,06:30
120,N,11:14:50,00:30
122,N,11:17:40,10:40
130,C,11:25:30,13:10
142,C,11:37:30,04:40
147,C,11:41:50,10:10
151,C,11:46:30,13:10
166,P,11:58:50,03:00
168,C,12:01:00,11:50
176,C,12:09:20,05:10
179,N,12:11:30,14:20
190,N,12:25:30,05:10
198,P,12:35:20,00:00
200,P,12:37:50,04:10
201,C,12:39:30,01:20
203,P,12:42:30,09:40
211,N,12:49:30,06:20
218,N,12:57:40,09:30
224,P,13:02:50,13:50
235,N,13:13:00,10:10
245,C,13:25:00,09:30
253,N,13:34:00,15:00
265,P,13:43:50,03:10
266,N,13:45:30,14:40
279,P,14:02:20,12:50
291,P,14:14:00,12:00
298,N,14:19:50,04:20
