1,N,09:00:00,14:00
18,P,09:25:30,05:00
23,N,09:29:30,14:50
34,N,09:42:00,00:10
35,N,09:42:00,02:20
39,N,09:44:10,12:40
55,C,10:03:00,13:30
66,P,10:14:40,07:50
72,N,10:21:50,00:10
73,C,10:22:10,09:30
81,C,10:32:00,05:20
85,N,10:37:00,07:20
91,C,10:45:30,11:50
102,C,10:56:30,05:40
105,N,11:01:20,10:00
116,N,11:10:50,00:00
117,C,11:11:30,05:50
124,P,11:20:40,02:30
128,C,11:24:50,14:30
138,N,11:32:50,07:10
144,N,11:40:10,12:50
153,N,11:47:40,09:00
162,P,11:56:40,04:50
167,N,11:59:50,02:00
169,N,12:01:10,12:50
177,N,12:09:30,08:20
186,N,12:21:10,12:00
195,N,12:32:20,09:00
204,P,12:44:10,03:20
207,N,12:46:40,11:40
217,P,12:56:20,06:10
222,C,12:59:40,10:20
230,N,13:08:40,08:00
236,C,13:13:00,08:30
244,N,13:23:10,14:20
256,N,13:37:00,07:00
262,N,13:41:30,02:40
264,P,13:43:20,14:40
274,N,13:55:00,11:20
285,P,14:08:40,04:50
289,N,14:12:50,13:50
300,N,14:20:30,09:50
